Dataset,Target,Model,Test_RMSE,Test_MAE,Test_MedAE,Test_R2,Test_MAPE_%,CV_R2_mean,CV_R2_sd,CV_RMSE_mean,CV_MAE_mean,N,No_features
Synthetic_Pilot,PI,LinearRegression,1.0249188443350017,0.7869705076125355,0.6278098016615399,0.7616804374435374,27.97553634318578,0.7179140314717672,0.007310591562041519,1.122043498475067,0.8419016796931378,1000,5
Synthetic_Pilot,PI,Ridge,1.0251819410300718,0.787376338796157,0.626154633968349,0.7615580684631807,28.001874073129734,0.7179274108963257,0.007353504732222254,1.1220152977745128,0.8422649940268615,1000,5
Synthetic_Pilot,PI,SVR_RBF,1.0810048541489248,0.793436386451901,0.6038771116425208,0.7348839473572562,27.127560301060637,0.7020676502569027,0.008283341994319798,1.1530960211124406,0.833428385755128,1000,5
Synthetic_Pilot,PI,GradientBoosting,1.113770564065465,0.8367443911512705,0.5802942117716795,0.7185688223389536,29.931654923052537,0.7004292481265636,0.016355526973611614,1.1559027733280411,0.8692757557360014,1000,5
Synthetic_Pilot,PI,RandomForest,1.1252578480550024,0.856484375,0.6187500000000001,0.7127335960970941,29.671884121469887,0.6876918928139458,0.006170903525495564,1.1806450285365744,0.894789072380764,1000,5
Synthetic_Pilot,PI,ExtraTrees,1.1314270191264546,0.850890625,0.6421874999999999,0.7095751136575121,29.151725167932973,0.6806134529915786,0.005977412954663829,1.1939631721380544,0.8868830750660841,1000,5
Synthetic_Pilot,PI,ElasticNet,1.3418513730674708,1.1814708183895066,1.2334420451384447,0.5915023462675294,49.14208900547484,0.5662536168874862,0.006363650267782401,1.3914266421105168,1.220851769959874,1000,5
Synthetic_Pilot,PI,Lasso,1.5224537064630932,1.3471327211436188,1.4355791105659388,0.4741414636688185,56.91791442777655,0.4530451668472715,0.003943223028006584,1.5625387756577875,1.3810412828596377,1000,5
Dataset1_Qatar_Instagram,Purchase_Intention,ExtraTrees,0.6671091531827092,0.49964229249011904,0.4150000000000005,0.546783142819592,19.33104407509533,0.45002619634368135,0.0570814344367552,0.7484963194854507,0.5416312400014545,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,RandomForest,0.6914252093246456,0.5141426034011458,0.40000000000000036,0.5131415909697221,19.769671531719073,0.461696376219258,0.05662090106964035,0.7407296459362249,0.5443418598844786,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,Ridge,0.6945042179068736,0.5182055920841467,0.3849595043484202,0.5087958456465426,20.26049435080489,0.4202195321194299,0.10172629797238515,0.7654461546567508,0.5755364982672465,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,LinearRegression,0.6945884581217716,0.5181661479682601,0.3838410030015944,0.5086766767430113,20.257525675303246,0.41971468299542924,0.10239338402230258,0.7657225760244956,0.5756759192755926,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,GradientBoosting,0.7117181573385739,0.49088614564216426,0.2838592018077142,0.48414416514752423,18.323973025505268,0.43363718482304137,0.09047962265933988,0.7574039135574185,0.5576645726371011,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,SVR_RBF,0.7161410855204701,0.5332270779039171,0.41900833316203556,0.4777127352452263,20.322660091436585,0.4150478382908192,0.07348561493256103,0.7711133144416303,0.572356330682152,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,ElasticNet,0.9213753428977498,0.713226627800065,0.5618155247461178,0.13545933156465728,28.3837212916196,0.11254729129028525,0.020370844431428118,0.9544875139030919,0.7231027147621459,574,7
Dataset1_Qatar_Instagram,Purchase_Intention,Lasso,0.9956983229944126,0.7751747655583974,0.6383442265795205,-0.00964292699223468,30.808856220633967,-0.006694568757054542,0.004589101382896417,1.0161233265267198,0.7760748590852962,574,7
Dataset2_SMI_Attitude,Purchase_Behaviour,Ridge,0.6375039982234952,0.4989111214633935,0.44399987665872076,0.19608495047621843,35.93456978330205,0.09412237544001223,0.12624933697324753,0.814937805584588,0.6426905538937249,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,LinearRegression,0.6377178663284425,0.49891015514557396,0.4437201973249608,0.19554546953723306,35.93396511653204,0.09369621308090596,0.12653171885299416,0.8151204429005513,0.6427963567194532,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,SVR_RBF,0.63892148885859,0.5051874365315083,0.3457128407611655,0.19250596448205393,31.742161875445802,0.025374528331284323,0.15109422379849333,0.842935195167381,0.6407141583027324,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,Lasso,0.7201140057564147,0.6341228070175438,0.7983333333333333,-0.02576257229832568,46.46709482038429,-0.00023582625772104274,0.00015073603618501503,0.8566001798068852,0.7193273045384599,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,ElasticNet,0.7201140057564147,0.6341228070175438,0.7983333333333333,-0.02576257229832568,46.46709482038429,-0.00023582625772104274,0.00015073603618501503,0.8566001798068852,0.7193273045384599,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,ExtraTrees,0.8374094732103097,0.6354440789473683,0.521875,-0.3871392872431507,44.077263471177936,0.0035478185886843594,0.11989853852734918,0.8504055723908094,0.6704558201058202,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,RandomForest,0.8578361324448905,0.6678254229323309,0.5218750000000001,-0.455636721513484,46.57379124895573,0.01780788337483556,0.14212543982393872,0.8430263614324631,0.6701676255039052,376,7
Dataset2_SMI_Attitude,Purchase_Behaviour,GradientBoosting,0.8931416598839181,0.6534542459330703,0.5320731771552094,-0.5779201692487257,44.1515591651062,-0.13906821921797755,0.2331945053866667,0.9039381090664964,0.7063989434921116,376,7
