Dataset,Construct,No_items,Items,Cronbach_alpha,Composite_Reliability_approx,AVE_approx
Synthetic_Pilot,TR,4,"TR1, TR2, TR3, TR4",0.8716920664201624,0.9122526611799543,0.7221535710911209
Synthetic_Pilot,EX,4,"EX1, EX2, EX3, EX4",0.8766770165800437,0.9153912766232666,0.7301256627098045
Synthetic_Pilot,AT,4,"AT1, AT2, AT3, AT4",0.8655802233104564,0.9084185958448588,0.7126369569473867
Synthetic_Pilot,PSI,5,"PSI1, PSI2, PSI3, PSI4, PSI5",0.9482027745807098,0.9602137330361606,0.8283822868683564
Synthetic_Pilot,PIF,4,"PIF1, PIF2, PIF3, PIF4",0.8896464141516917,0.9235770127157671,0.7513487796308898
Synthetic_Pilot,PI,4,"PI1, PI2, PI3, PI4",0.9412248926294942,0.9577998776503717,0.8501708739971039
Dataset1_Qatar_Instagram,Homophily,9,"Hom1, Hom2, Hom3, Hom4, Hom5, Hom6, Hom7, Hom8, Hom9",0.8923368748763635,0.9137481041689287,0.541596445977175
Dataset1_Qatar_Instagram,Popularity,3,"Pop1, Pop2, Pop3",0.8818374553970734,0.9270720955465543,0.8091472595988239
Dataset1_Qatar_Instagram,Leverage,3,"Lev1, Lev2, Lev3",0.6620820180330096,0.8184778254332962,0.6031291993724267
Dataset1_Qatar_Instagram,Fashionability,3,"Fash1, Fash2, Fash3",0.7595928765848505,0.8620504552742991,0.675683812402419
Dataset1_Qatar_Instagram,Affability,3,"Aff1, Aff2, Aff3",0.7495955437506523,0.8589152111842769,0.671255095638502
Dataset1_Qatar_Instagram,PSI,6,"PSI1, PSI2, PSI3, PSI4, PSI5, PSI6",0.8021893218053214,0.8624123610016994,0.5239724472920751
Dataset1_Qatar_Instagram,WOM,3,"WOM1, WOM2, WOM3",0.8205172936963592,0.893586957125083,0.7369656080779459
Dataset1_Qatar_Instagram,Purchase_Intention,5,"Int1, Int2, Int3, Int4, Int5",0.8960924755781932,0.9238533229816566,0.7091057751975787
Dataset2_SMI_Attitude,Convenience,5,"CONV1, CONV2, CONV3, CONV4, CONV5",0.9542389850043408,0.9652287179113345,0.8475266640145923
Dataset2_SMI_Attitude,Interactivity,5,"INTER1, INTER2, INTER3, INTER4, INTER5",0.8583221537125141,0.8988717447367205,0.640190498242513
Dataset2_SMI_Attitude,Attractiveness,4,"ATTR1, ATTR2, ATTR3, ATTR4",0.8921895671711717,0.9252889126812052,0.7559656963387057
Dataset2_SMI_Attitude,Expertise,4,"EXP1, EXP2, EXP3, EXP4",0.8725147702102327,0.9143633777252138,0.7278496451999152
Dataset2_SMI_Attitude,Trustworthiness,4,"TRUST1, TRUST2, TRUST3, TRUST4",0.9023386819863111,0.9329717590603958,0.7769121270461774
Dataset2_SMI_Attitude,Attitude_SMI,4,"ATT_SMI1, ATT_SMI2, ATT_SMI3, ATT_SMI4",0.9110284531607655,0.938203515779168,0.7917391850917872
Dataset2_SMI_Attitude,Attitude_Product,4,"ATT_PROD1, ATT_PROD2, ATT_PROD3, ATT_PROD4",0.9516149523859028,0.9651022355578367,0.8736765830281432
Dataset2_SMI_Attitude,Purchase_Behaviour,2,"BUY_FREQ, BUY_SPEND",0.902368065115186,0.9550477360477586,0.9139630287373666
